Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro
Audi,A6 Allroad,2021,8 900 km,"Str. Gh. Gr. Cantacuzino Nr. 291 - 100466 Ploiesti, Judet Prahova (Romania)","71 000"
Audi,A6,2018,59 631 km,"Iasi, Judet Iasi","40 000"
Nissan,Qashqai,2008,168 000 km,"Ion Ionescu de la Brad,nr.29 - 300245 Timisoara, Judet Timis (Romania)","6 700"
Mercedes-Benz,CLS,2018,54 980 km,"Bulevardul Pipera 1 Voluntari, Romania - 077191 Voluntari, Judet Bucuresti - Ilfov (Romania)","51 467"
Volkswagen,Golf,2011,198 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","5 500"
Mercedes-Benz,E,2019,216 000 km,"Com. Calinesti, Sat. Gorganu, Nr. 360 - 117199 Calinesti, Judet Arges (Romania)","27 900"
Audi,A5,2023,20 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","56 849"
Land Rover,Discovery Sport,2019,31 792 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","24 950"
Mercedes-Benz,C,2018,55 720 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","48 899"
Toyota,Hilux,2023,15 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","54 899"
BMW,Seria 5,2020,66 400 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","47 799"
Toyota,RAV4,2022,13 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","47 095"
Kia,Sportage,2022,13 654 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","44 478"
BMW,Seria 5,2021,17 150 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","68 137"
Toyota,RAV4,2022,12 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","46 800"
Mercedes-Benz,V,2017,155 000 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","50 749"
Mercedes-Benz,G,2022,80 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","237 881"
Volkswagen,Taigo,2022,1 km,"Pipera, Voluntari, Romania - 245700 Voluntari, Judet Bucuresti - Ilfov (Romania)","19 230"
Land Rover,Range Rover Evoque,2020,47 300 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","47 928"
BMW,Seria 5,2021,11 813 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","53 822"
Porsche,Cayenne,2022,2 000 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","224 799"
BMW,Seria 5,2018,38 950 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","29 500"
Porsche,Macan,2022,11 500 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","101 899"
Mercedes-Benz,GLC Coupe,2020,43 918 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","60 500"
Toyota,RAV4,2023,10 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","49 989"
Volkswagen,Golf,2018,99 555 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","13 999"
