Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro,PriceLei
Toyota,Camry,2023,2 km,"Bulevardul Tudor Vladimirescu 29A, AFI Tech Park 2 - 050881 Bucuresti, Judet Bucuresti (Romania)","40 500","40 500"
BMW,X5,2014,216 000 km,"Constructorilor NR.9 - 307370 Sacalaz, Judet Timis (Romania)","23 999","23 999"
Volkswagen,Transporter,2011,243 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 750","8 750"
Audi,A4,2010,165 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 250","8 250"
Toyota,RAV4,2012,181 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","10 300","10 300"
Nissan,Qashqai,2012,206 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 250","9 250"
Hyundai,i40,2012,237 535 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","6 699","6 699"
Audi,A6,2014,190 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","14 300","14 300"
Ford,Kuga,2017,167 250 km,"Strada Oradiei, Nr. 1-7 - 400220 Cluj-Napoca, Judet Cluj (Romania)","20 600","20 600"
Dacia,Logan,2018,85 845 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","8 590","8 590"
BMW,X3 M,2019,93 910 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","44 490","44 490"
Mercedes-Benz,GLE,2020,48 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","74 970","74 970"
Ford,Transit Connect,2018,108 031 km,"Bulevardul Iuliu Maniu 572-574 - 061129 Bucuresti, Judet Bucuresti (Romania)","10 591","10 591"
Volkswagen,Golf,2020,68 991 km,"Strada Oradiei, Nr. 1-7 - 400220 Cluj-Napoca, Judet Cluj (Romania)","22 900","22 900"
Dacia,Sandero,2020,10 895 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","9 890","9 890"
Aston Martin,V8 Vantage,2019,7 562 km,"Sos. Borsului Nr. 22 D - 410605 Oradea, Judet Bihor (Romania)","129 699","129 699"
Ford,Mondeo,2019,39 674 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","21 090","21 090"
Skoda,Octavia,2019,121 766 km,"Strada Oradiei, Nr. 1-7 - 400220 Cluj-Napoca, Judet Cluj (Romania)","13 800","13 800"
BMW,X1,2014,103 116 km,"Strada Oradiei, Nr. 1-7 - 400220 Cluj-Napoca, Judet Cluj (Romania)","15 599","15 599"
Land Rover,Discovery,2012,231 000 km,"Str Oasului 177 - 400641 Cluj-Napoca, Judet Cluj (Romania)","16 499","16 499"
Audi,A4,2020,82 990 km,"Bulevardul Pipera 28-30 - 077190 Ilfov, Judet Ilfov (Romania)","32 963","32 963"
Dacia,Duster,2019,136 526 km,"Strada Oradiei, Nr. 1-7 - 400220 Cluj-Napoca, Judet Cluj (Romania)","15 299","15 299"
Nissan,Qashqai,2012,175 000 km,"STR BASARABIEI NR 1 - 110161 Pitesti, Judet Arges (Romania)","11 500","11 500"
Renault,Megane,2019,135 194 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","13 989","13 989"
Toyota,Corolla,2020,172 263 km,"Strada Oradiei, Nr. 1-7 - 400220 Cluj-Napoca, Judet Cluj (Romania)","18 700","18 700"
Land Rover,Range Rover Sport,2019,96 000 km,"Strada Oradiei, Nr. 1-7 - 400220 Cluj-Napoca, Judet Cluj (Romania)","56 800","56 800"
Audi,Q2,2021,6 334 km,"Strada Oradiei, Nr. 1-7 - 400220 Cluj-Napoca, Judet Cluj (Romania)","32 400","32 400"
Volkswagen,Caddy,2017,180 421 km,"Strada Oradiei, Nr. 1-7 - 400220 Cluj-Napoca, Judet Cluj (Romania)","15 300","15 300"
Renault,Koleos,2018,109 969 km,"Strada Tudor Vladimirescu 1, Odăile, Otopeni, Roma - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","21 950","21 950"
BMW,X5,2015,159 000 km,"Brasov, Judet Brasov","25 300","25 300"
Skoda,Octavia,2019,59 121 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","19 900","19 900"
Volvo,XC 60,2020,124 821 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","34 800","34 800"
Volkswagen,Golf,2020,33 291 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","20 500","20 500"
Ford,Fiesta,2016,100 000 km,"Constructorilor NR.9 - 307370 Sacalaz, Judet Timis (Romania)","7 599","7 599"
BMW,Seria 7,2021,41 000 km,"Focsani, Judet Vrancea","70 000","70 000"
Skoda,Kodiaq,2020,109 990 km,"Bulevardul Pipera 28-30 - 077190 Ilfov, Judet Ilfov (Romania)","36 890","36 890"
Volkswagen,ARTEON,2018,52 614 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","22 500","22 500"
Volkswagen,Golf,2018,130 587 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","17 100","17 100"
Volkswagen,Tiguan,2020,123 097 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","29 799","29 799"
Audi,Q5,2018,109 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","34 510","34 510"
Audi,A4,2017,127 944 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","19 400","19 400"
Volkswagen,Passat,2019,116 627 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","21 199","21 199"
Volkswagen,Tiguan,2019,109 923 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","25 700","25 700"
Mercedes-Benz,GLE,2015,200 000 km,"Selimbar, Judet Sibiu","25 900","25 900"
Volkswagen,T-ROC,2019,90 866 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","23 600","23 600"
Mercedes-Benz,C,2016,240 664 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","14 999","14 999"
Skoda,Octavia,2018,181 410 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","12 190","12 190"
Renault,Captur,2016,178 000 km,"Pitesti, Judet Arges","8 190","8 190"
Volkswagen,Tiguan,2019,50 300 km,"Galati, Judet Galati","19 000","19 000"
Land Rover,Discovery Sport,2018,39 000 km,"Sos. Bucuresti - Ploiesti, nr. 42-44 - 013685 Bucuresti, Judet Bucuresti (Romania)","25 305","25 305"
Lexus,Seria RX,2020,72 000 km,"Ploiesti, Judet Prahova","62 000","62 000"
Nissan,Qashqai,2010,205 000 km,"Str Oasului 177 - 400641 Cluj-Napoca, Judet Cluj (Romania)","7 999","7 999"
Dacia,Logan,2018,239 000 km,"Calea Dorobantilor nr.92-94 - 300109 Timisoara, Judet Timis (Romania)","5 950","5 950"
Mitsubishi,Outlander,2014,223 000 km,"Str Oasului 177 - 400641 Cluj-Napoca, Judet Cluj (Romania)","12 999","12 999"
Audi,Q5,2014,186 735 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","17 990","17 990"
Porsche,Macan,2023,9 900 km,"Drumul Garii Odai 2A, Cladirea AIRPORT PLAZA - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","78 421","78 421"
Seat,Tarraco,2019,71 000 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","29 700","29 700"
Peugeot,3008,2018,195 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","17 990","17 990"
Dacia,Logan,2021,33 059 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","11 850","11 850"
Renault,Captur,2019,39 514 km,"Calea Floresti, Nr. 145 - 400495 Cluj-Napoca, Judet Cluj (Romania)","11 700","11 700"
Porsche,Cayenne Coupe,2022,26 300 km,"Drumul Garii Odai 2A, Cladirea AIRPORT PLAZA - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","93 891","93 891"
Volvo,V40,2013,229 000 km,"Str Oasului 177 - 400641 Cluj-Napoca, Judet Cluj (Romania)","9 499","9 499"
BMW,X5 M,2015,102 101 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","34 900","34 900"
Toyota,Corolla Cross,2023,2 km,"Bulevardul Tudor Vladimirescu 29A, AFI Tech Park 2 - 050881 Bucuresti, Judet Bucuresti (Romania)","36 822","36 822"
Mercedes-Benz,C,2018,187 447 km,"Ecaterina Teodoroiu 14 - 440209 Satu Mare, Judet Satu Mare (Romania)","15 999","15 999"
Nissan,Qashqai,2017,169 000 km,"Str Oasului 177 - 400641 Cluj-Napoca, Judet Cluj (Romania)","13 499","13 499"
Cupra,Formentor,2022,30 994 km,"str. Amurgului, nr. 1 - 300278 Timisoara, Judet Timis (Romania)","30 600","30 600"
Land Rover,Range Rover Sport,2019,89 550 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","46 900","46 900"
BMW,Seria 3,2013,195 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","9 990","9 990"
Mercedes-Benz,GLC Coupe,2017,181 000 km,"STR BASARABIEI NR 1 - 110161 Pitesti, Judet Arges (Romania)","34 990","34 990"
Audi,A3,2013,256 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","11 990","11 990"
Renault,Grand Scenic,2013,161 673 km,"Câmpului Str Nr 20 - 557260 Selimbar, Judet Sibiu (Romania)","7 500","7 500"
Hyundai,Tucson,2021,13 300 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","42 918","42 918"
Renault,Espace,2016,189 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","14 500","14 500"
Toyota,RAV4,2022,14 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","44 995","44 995"
Volvo,XC 60,2017,184 200 km,"Bucuresti, Sectorul 6","15 990","15 990"
Renault,Espace,2016,158 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","16 500","16 500"
Land Rover,Range Rover Evoque,2017,142 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","22 490","22 490"
Porsche,Cayenne,2023,2 000 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","166 998","166 998"
Audi,Q5,2021,36 092 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","60 939","60 939"
BMW,X1,2012,219 000 km,"Pitesti, Judet Arges","12 900","12 900"
Audi,A5,2014,213 000 km,"Strada Tudor Vladimirescu 1, Odăile, Otopeni, Roma - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","13 449","13 449"
Ford,Focus,2019,71 842 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","14 689","14 689"
BMW,Seria 5,2017,82 000 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","39 258","39 258"
Dacia,Sandero,2020,7 756 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","10 090","10 090"
BMW,X5,2022,11 200 km,"Selimbar, Sos. Sibiului, nr 28 - 557260 Selimbar, Judet Sibiu (Romania)","69 900","69 900"
Mercedes-Benz,GLS,2022,6 000 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","189 091","189 091"
Land Rover,Range Rover Sport,2017,190 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","38 999","38 999"
Land Rover,Range Rover Velar,2021,30 000 km,"Sos. Bucuresti - Ploiesti, nr. 42-44 - 013685 Bucuresti, Judet Bucuresti (Romania)","57 402","57 402"
Opel,Corsa,2006,224 000 km,"Str. Mesteacanului Nr.30 - 300410 Timisoara, Judet Timis (Romania)","3 999","3 999"
Chevrolet,Orlando,2013,226 000 km,"Str. Mesteacanului Nr.30 - 300410 Timisoara, Judet Timis (Romania)","5 999","5 999"
Ford,Kuga,2010,238 000 km,"Str. Mesteacanului Nr.30 - 300410 Timisoara, Judet Timis (Romania)","6 999","6 999"
Ford,Focus,2016,142 500 km,"Bucuresti, Sectorul 4","8 000","8 000"
Ford,Mondeo,2018,247 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","13 999","13 999"
Dacia,Duster,2011,120 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","7 499","7 499"
BMW,X3,2016,299 000 km,"Baia Mare, Judet Maramures","13 990","13 990"
Mercedes-Benz,GLE Coupe,2017,98 135 km,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","44 000","44 000"
Toyota,C-HR,2017,155 000 km,"STRADA ATELIERELOR, NR 148 - 607015 Moinesti, Judet Bacau (Romania)","18 990","18 990"
BMW,Seria 5,2013,270 887 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","11 499","11 499"
Fiat,Panda,2013,138 000 km,"jud Mures - 547578 Targu-Mures, Judet Mures (Romania)","5 490","5 490"
Ford,C-Max,2012,257 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","5 499","5 499"
Toyota,C-HR,2020,120 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","21 420","21 420"
BMW,X1,2013,214 933 km,"Galati, Galati - 800364 Galati, Judet Galati (Romania)","11 590","11 590"
Nissan,Qashqai,2011,187 176 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","7 999","7 999"
Audi,Q5,2014,195 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","17 500","17 500"
Ford,Mustang,2019,71 950 km,"Calea Turzii Nr. 176-178 - 400495 Cluj-Napoca, Judet Cluj (Romania)","26 500","26 500"
BMW,Seria 8,2020,72 155 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","64 248","64 248"
Citroën,DS5,2014,243 140 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","9 500","9 500"
Jeep,Renegade,2017,137 000 km,"Drumul Garii Nr. 5 Chiajna Jud. Ilfov - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","17 490","17 490"
Nissan,X-Trail,2018,140 500 km,"com. Geamana Str. Targului ,NR 21/ IN PITESTI/ - 117141 Pitesti, Judet Arges (Romania)","16 995","16 995"
Jeep,Renegade,2017,137 000 km,"Drumul Garii Nr. 5 Chiajna Jud. Ilfov - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","17 490","17 490"
Nissan,X-Trail,2018,140 500 km,"com. Geamana Str. Targului ,NR 21/ IN PITESTI/ - 117141 Pitesti, Judet Arges (Romania)","16 995","16 995"
Mercedes-Benz,C,2020,49 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","41 000","41 000"
Peugeot,3008,2020,220 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","16 989","16 989"
Skoda,Fabia,2016,81 000 km,"Drumul Garii Nr. 5 Chiajna Jud. Ilfov - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","6 490","6 490"
Land Rover,Range Rover Evoque,2012,230 000 km,"EUGEN IONESCO 109 A - 400357 Cluj-Napoca, Judet Cluj (Romania)","11 800","11 800"
Mercedes-Benz,E,2017,216 000 km,"Com. Calinesti, Sat. Gorganu, Nr. 360 - 117199 Calinesti, Judet Arges (Romania)","24 900","24 900"
Audi,Q7,2021,56 600 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","74 900","74 900"
Land Rover,Discovery Sport,2015,264 000 km,"Strada Tudor Vladimirescu 1, Odăile, Otopeni, Roma - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","15 490","15 490"
BMW,X1,2018,63 345 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","27 489","27 489"
BMW,Seria 1,2019,48 157 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","23 990","23 990"
Mazda,CX-5,2013,174 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","11 999","11 999"
Opel,Mokka,2013,180 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","9 990","9 990"
Toyota,Corolla,2020,67 531 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","15 850","15 850"
Audi,A8,2016,182 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","29 990","29 990"
Toyota,C-HR,2022,38 427 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","24 999","24 999"
Renault,Koleos,2019,94 840 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","21 990","21 990"
Ford,Mondeo,2018,119 000 km,"Drumul Garii Nr. 5 Chiajna Jud. Ilfov - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","14 390","14 390"
Dacia,Dokker,2017,107 000 km,"Șoseaua Alexandriei 56, Bragadiru, România - 080643 Bragadiru, Judet Bucuresti - Ilfov (Romania)","9 499","9 499"
Seat,Leon,2020,211 000 km,"Strada Avram Iancu 142A - 407280 Floresti, Judet Cluj (Romania)","12 790","12 790"
Volkswagen,Passat,2019,196 000 km,"Strada Avram Iancu 142A - 407280 Floresti, Judet Cluj (Romania)","15 990","15 990"
Skoda,Octavia,2018,169 990 km,"STRADA PRECIZIEI NR 1 - 062202 Bucuresti, Judet Bucuresti (Romania)","16 990","16 990"
Dacia,Sandero,2019,24 259 km,"Sos. Borsului Nr. 22 D - 410605 Oradea, Judet Bihor (Romania)","10 900","10 900"
Land Rover,Range Rover Velar,2018,81 000 km,"STRADA POPASULUI 88 - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","39 500","39 500"
Mercedes-Benz,GLC,2018,190 000 km,"STRADA ATELIERELOR, NR 148 - 607015 Moinesti, Judet Bacau (Romania)","26 990","26 990"
Volkswagen,Golf,2018,42 191 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","15 490","15 490"
BMW,Seria 5,2019,35 990 km,"Bulevardul Pipera 28-30 - 077190 Ilfov, Judet Ilfov (Romania)","35 997","35 997"
BMW,X5,2014,192 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","23 500","23 500"
Audi,e-tron,2022,4 441 km,"Calea Buzau nr 46 - 107071 Ploiestiori, Judet Prahova (Romania)","87 465","87 465"
Mercedes-Benz,GLE Coupe,2023,5 000 km,"str.Turnu Magurele 270D, Cavar Center,Parter - 041713 Bucuresti, Judet Bucuresti (Romania)","114 989","114 989"
Dacia,Lodgy,2021,77 976 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","11 950","11 950"
Audi,Q3,2019,72 203 km,"Bd Pipera 1/x - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","29 800","29 800"
Porsche,992 TURBO S,2023,4 999 km,"Drumul Osiei 52 - 062395 Bucuresti, Judet Bucuresti (Romania)","299 999","299 999"
Volkswagen,Transporter,2015,147 490 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","11 799","11 799"
Renault,Kadjar,2019,168 000 km,"Soseaua Sighisoarei nr 395/p - 547367 Corunca, Judet Mures (Romania)","16 389","16 389"
BMW,Seria 7,2023,20 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","125 990","125 990"
BMW,Seria 5,2014,217 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","16 290","16 290"
Renault,Talisman,2017,120 000 km,"com. Geamana Str. Targului ,NR 21/ IN PITESTI/ - 117141 Pitesti, Judet Arges (Romania)","17 495","17 495"
Volkswagen,Tiguan,2014,202 500 km,"Soseaua Bucuresti-Pitesti Km.110 - 117719 Stefanesti, Judet Arges (Romania)","11 190","11 190"
Mitsubishi,Pajero,2010,78 000 km,"Strada Sforii, Brașov, Romania - 500484 Brasov, Judet Brasov (Romania)","16 990","16 990"
Volkswagen,Passat CC,2013,177 316 km,"Ploiesti, Judet Prahova","13 000","13 000"
Mercedes-Benz,GLE Coupe,2021,63 250 km,"str.Turnu Magurele 270D, Cavar Center,Parter - 041713 Bucuresti, Judet Bucuresti (Romania)","82 478","82 478"
Toyota,C-HR,2023,2 km,"Bulevardul Tudor Vladimirescu 29A, AFI Tech Park 2 - 050881 Bucuresti, Judet Bucuresti (Romania)","29 600","29 600"
Audi,A4,2020,149 000 km,"str. Amurgului, nr. 1 - 300278 Timisoara, Judet Timis (Romania)","25 400","25 400"
Nissan,Qashqai,2015,133 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","12 960","12 960"
Volkswagen,Touareg,2019,157 990 km,"Bulevardul Pipera 28-30 - 077190 Ilfov, Judet Ilfov (Romania)","43 911","43 911"
Audi,A5,2012,256 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","11 990","11 990"
BMW,Seria 6,2017,182 787 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","28 990","28 990"
Toyota,Yaris,2023,3 km,"Bulevardul Tudor Vladimirescu 29A, AFI Tech Park 2 - 050881 Bucuresti, Judet Bucuresti (Romania)","18 879","18 879"
Peugeot,3008,2017,190 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","17 500","17 500"
Mercedes-Benz,GLC,2017,91 183 km,"SLATINA,STR PLEVNEI,NR 1N - 230033 Slatina, Judet Olt (Romania)","29 990","29 990"
Dacia,Logan,2017,111 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","7 700","7 700"
BMW,X3,2015,181 455 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","18 990","18 990"
Skoda,Karoq,2018,152 100 km,"Strada Parcului - 000 Bucuresti, Judet Bucuresti (Romania)","19 950","19 950"
Audi,A6,2009,288 000 km,"str piscul crasani nr 87 - 062337 Bucuresti, Judet Bucuresti (Romania)","4 750","4 750"
Opel,Insignia,2020,141 771 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","15 490","15 490"
BMW,X6,2017,185 000 km,"Pitesti, Judet Arges","36 899","36 899"
BMW,X4,2020,96 000 km,"Bd.Metalurgiei,130A - 041833 Bucuresti, Judet Bucuresti (Romania)","42 900","42 900"
Mercedes-Benz,S,2018,124 500 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","45 500","45 500"
Volkswagen,ARTEON,2019,71 990 km,"Bulevardul Pipera 28-30 - 077190 Ilfov, Judet Ilfov (Romania)","32 963","32 963"
Mercedes-Benz,E,2018,73 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","39 000","39 000"
Volkswagen,Touran,2012,199 505 km,"Targu Mures str.libertatii 117A - 547525 Targu-Mures, Judet Mures (Romania)","7 990","7 990"
Ford,Mondeo,2019,89 000 km,"Bucuresti, Sectorul 2","27 400","27 400"
Mercedes-Benz,GLE,2021,60 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","109 000","109 000"
Opel,Insignia,2020,141 771 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","15 490","15 490"
BMW,X6,2017,185 000 km,"Pitesti, Judet Arges","36 899","36 899"
BMW,X4,2020,96 000 km,"Bd.Metalurgiei,130A - 041833 Bucuresti, Judet Bucuresti (Romania)","42 900","42 900"
Mercedes-Benz,S,2018,124 500 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","45 500","45 500"
Volkswagen,ARTEON,2019,71 990 km,"Bulevardul Pipera 28-30 - 077190 Ilfov, Judet Ilfov (Romania)","32 963","32 963"
Mercedes-Benz,E,2018,73 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","39 000","39 000"
Volkswagen,Touran,2012,199 505 km,"Targu Mures str.libertatii 117A - 547525 Targu-Mures, Judet Mures (Romania)","7 990","7 990"
Ford,Mondeo,2019,89 000 km,"Bucuresti, Sectorul 2","27 400","27 400"
Mercedes-Benz,GLE,2021,60 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","109 000","109 000"
Citroën,C4 Picasso,2012,146 000 km,"jud Mures - 547578 Targu-Mures, Judet Mures (Romania)","6 490","6 490"
Audi,Q5,2018,155 800 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","25 990","25 990"
Audi,A6,2016,174 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","17 990","17 990"
Renault,Koleos,2013,190 000 km,"com. Geamana Str. Targului ,NR 21/ IN PITESTI/ - 117141 Pitesti, Judet Arges (Romania)","8 490","8 490"
BMW,Seria 3,2014,218 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","11 990","11 990"
Seat,Altea XL,2012,254 504 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","6 799","6 799"
Porsche,Cayenne,2006,236 700 km,"Calea Dorobantilor nr.92-94 - 300109 Timisoara, Judet Timis (Romania)","7 490","7 490"
Toyota,Hilux,2023,100 km,"Strada Verzisori Nr.50 - 040301 Bucuresti, Judet Bucuresti (Romania)","54 738","54 738"
Nissan,Qashqai,2017,148 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","11 970","11 970"
Volkswagen,Tiguan,2017,147 741 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","19 450","19 450"
