Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro,PriceLei
Peugeot,307,2011,196 577 km,"Ploiesti, Judet Prahova","3 650","3 650"
Mercedes-Benz,GLE Coupe,2017,77 416 km,"Calea Bucuresti 241 - 500299 Brasov, Judet Brasov (Romania)","48 800","48 800"
Lexus,Seria RX,2019,105 989 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","45 950","45 950"
Mercedes-Benz,EQB,2022,4 000 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","57 620","57 620"
BMW,X6,2016,267 000 km,"Constanta, Judet Constanta","29 750","29 750"
Mercedes-Benz,CLA,2022,4 000 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","73 768","73 768"
Renault,Scenic,2011,162 000 km,"Calarasi, Judet Calarasi","4 200","4 200"
Mercedes-Benz,S,2022,4 000 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","185 397","185 397"
Ferrari,488 GTB,2018,20 693 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","259 885","259 885"
Ferrari,Roma,2021,3 500 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","245 900","245 900"
Audi,A6,2011,232 772 km,"STRADA ATOMISTILOR NR.50, MAGURELE, ILFOV - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","9 450","9 450"
Audi,A5,2011,93 421 km,"Calea Bucurestilor , Nr. 1 , Otopeni , Ilfov - 077190 Otopeni, Judet Bucuresti - Ilfov (Romania)","10 950","10 950"
Alfa Romeo,159,2008,190 000 km,"Bucuresti, Sectorul 6","5 100","5 100"
Volkswagen,Caddy,2019,71 450 km,"Str. Gh. Gr. Cantacuzino Nr. 291 - 100466 Ploiesti, Judet Prahova (Romania)","19 499","19 499"
Mercedes-Benz,GLC,2017,222 000 km,"Racari, Judet Dambovita","29 500","29 500"
Volkswagen,Passat,2008,290 000 km,"Bucuresti, Sectorul 2","1 750","1 750"
SsangYong,Korando,2023,1 km,"Vaslui, Soseaua Nationala nr.3 - 730003 Vaslui, Judet Vaslui (Romania)","23 890","23 890"
BMW,X3,2011,279 000 km,"Str.Constructorilor,intrare Lipovei-Dumbravita - 300245 Timisoara, Judet Timis (Romania)","13 699","13 699"
Volkswagen,Tiguan,2017,129 000 km,"Galati, Galati - 800364 Galati, Judet Galati (Romania)","22 500","22 500"
Volkswagen,Caddy,2017,196 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","11 999","11 999"
Peugeot,5008,2018,189 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","15 500","15 500"
BMW,M4,2017,160 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","45 999","45 999"
Peugeot,3008,2019,174 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","15 500","15 500"
BMW,X3,2016,180 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","18 999","18 999"
Mercedes-Benz,GLA,2016,171 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","14 999","14 999"
BMW,X2,2019,102 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","22 500","22 500"
Peugeot,508,2019,154 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","17 000","17 000"
Audi,A4,2019,199 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","19 000","19 000"
Renault,Espace,2018,204 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","16 000","16 000"
BMW,Seria 7,2003,138 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","19 999","19 999"
Renault,Talisman,2017,260 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","12 900","12 900"
BMW,M5,2016,230 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","22 900","22 900"
BMW,Seria 5,2015,197 000 km,"Strada Targului Nr 30 - 117141 Pitesti, Judet Arges (Romania)","14 900","14 900"
Porsche,Cayenne,2013,186 370 km,"Str. Rosetti, Nr. 2B - 440214 Satu Mare, Judet Satu Mare (Romania)","27 950","27 950"
Volkswagen,up!,2016,72 146 km,"Calarasi, Judet Calarasi","4 800","4 800"
Peugeot,2008,2018,120 000 km,"Bucuresti, Sectorul 1","8 550","8 550"
Hyundai,Tucson,2018,190 000 km,"Sibiu, Judet Sibiu","16 800","16 800"
Fiat,500,2020,6 350 km,"Bacau, Judet Bacau","12 900","12 900"
Audi,A3,2012,135 200 km,"Calea Bucureștilor, Otopeni, Romania - 015750 Otopeni, Judet Bucuresti - Ilfov (Romania)","8 450","8 450"
BMW,Seria 5,2013,219 503 km,"Str. Rosetti, Nr. 2B - 440214 Satu Mare, Judet Satu Mare (Romania)","13 450","13 450"
